comparator	comparator_version	partition	stage_code	stage	precision	recall	f1	support
SF-A	v0.1	train	0	Wake	0.8504554884098494	0.8605457698275075	0.8554708764289602	10957
SF-A	v0.1	train	1	N1	0.4554670528602462	0.2403515475735575	0.31465732866433216	2617
SF-A	v0.1	train	2	N2	0.9073197457812843	0.9160526606925545	0.9116652903936141	45195
SF-A	v0.1	train	3	N3	0.6841715976331361	0.5873015873015873	0.6320464639562692	3150
SF-A	v0.1	train	4	REM	0.8020439061317184	0.8761266848590094	0.8374501047306644	12093
SF-A	v0.1	validation	0	Wake	0.8493103448275862	0.8894907908992417	0.8689363203386841	2769
SF-A	v0.1	validation	1	N1	0.6695906432748538	0.26783625730994154	0.38262322472848787	855
SF-A	v0.1	validation	2	N2	0.916777452805105	0.9340798266209138	0.9253477658004204	11074
SF-A	v0.1	validation	3	N3	0.9322799097065463	0.5925394548063128	0.724561403508772	697
SF-A	v0.1	validation	4	REM	0.7698300283286119	0.9069670421360033	0.832790653131584	2397
SF-A	v0.1	test	0	Wake	0.9024231934227607	0.9095071958133449	0.9059513466550826	4586
SF-A	v0.1	test	1	N1	0.5260960334029228	0.302158273381295	0.38385376999238385	834
SF-A	v0.1	test	2	N2	0.8953744493392071	0.9304898519761942	0.9125944772880341	13106
SF-A	v0.1	test	3	N3	0.5950054288816504	0.5649484536082474	0.5795875198307774	970
SF-A	v0.1	test	4	REM	0.8597560975609756	0.824791086350975	0.8419107193630936	3590
